FECHA,PROVINCIA_DESTINO,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020/01,Tarragona,60662,545651,9.0
2020/01,Teruel,7983,79288,10.0
2020/01,Toledo,24376,262850,11.0
2020/01,Valencia/València,153856,1452502,9.0
2020/01,Valladolid,21141,215016,10.0
2020/01,Zamora,18165,170588,9.0
2020/01,Zaragoza,43432,432547,10.0
2020/01,Álava/Araba,23371,200465,9.0
2020/01,Ávila,5296,56844,11.0
2020/02,A Coruña,29984,291877,10.0
2020/02,Albacete,11357,118946,10.0
2020/02,Alicante/Alacant,267756,2425738,9.0
2020/02,Almería,47575,520551,11.0
2020/02,Asturias,23178,246005,11.0
2020/02,Badajoz,33000,316171,10.0
2020/02,Barcelona,673415,3879084,6.0
2020/02,Bizkaia,38447,275430,7.0
2020/02,Burgos,25503,182169,7.0
2020/02,Cantabria,19390,211944,11.0
2020/02,Castellón/Castelló,36496,345365,9.0
2020/02,Ceuta,21079,166250,8.0
2020/02,Ciudad Real,10869,108644,10.0
2020/02,Cuenca,7237,71543,10.0
2020/02,Cáceres,17601,146291,8.0
2020/02,Cádiz,110884,881394,8.0
2020/02,Córdoba,18066,163455,9.0
2020/02,Gerona/Girona,190601,1188084,6.0
2020/02,Granada,69123,523377,8.0
2020/02,Guadalajara,14100,114938,8.0
2020/02,Guipúzcoa/Gipuzkoa,97802,714168,7.0
2020/02,Huelva,35348,308334,9.0
2020/02,Huesca,22040,135235,6.0
2020/02,Islas Baleares/Illes Balears,173691,1232466,7.0
2020/02,Jaén,12223,153797,13.0
2020/02,La Rioja,10732,107463,10.0
2020/02,Las Palmas,605251,4668843,8.0
2020/02,León,12084,125272,10.0
2020/02,Lleida,55226,360562,7.0
2020/02,Lugo,7545,80443,11.0
2020/02,Madrid,490564,3290158,7.0
2020/02,Melilla,22680,215020,9.0
2020/02,Murcia,73330,797354,11.0
2020/02,Málaga,281598,2309001,8.0
2020/02,Navarra,45279,373587,8.0
2020/02,Ourense,24224,205166,8.0
2020/02,Palencia,9607,71525,7.0
2020/02,Pontevedra,46660,411552,9.0
2020/02,Salamanca,35642,274636,8.0
2020/02,Santa Cruz de Tenerife,438573,3553228,8.0
2020/02,Segovia,7601,65174,9.0
2020/02,Sevilla,100065,666775,7.0
2020/02,Soria,6543,49002,7.0
2020/02,Tarragona,51798,424762,8.0
2020/02,Teruel,6195,53322,9.0
2020/02,Toledo,20346,186851,9.0
2020/02,Valencia/València,147492,1168402,8.0
2020/02,Valladolid,18642,170388,9.0
2020/02,Zamora,15605,126414,8.0
2020/02,Zaragoza,41362,356620,9.0
2020/02,Álava/Araba,22563,205195,9.0
2020/02,Ávila,5173,45826,9.0
2020/03,A Coruña,24605,378018,15.0
2020/03,Albacete,10795,178851,17.0
2020/03,Alicante/Alacant,242566,3045679,13.0
2020/03,Almería,44962,678802,15.0
